#t  x1  x2  v1  v2 
4.68000  1.43845  8.62832  2.47956  -4.60794 
4.69000  1.46354  8.58215  2.53659  -4.62554 
4.70000  1.48919  8.53581  2.59265  -4.64195 
4.71000  1.51539  8.48931  2.64773  -4.65718 
4.72000  1.54214  8.44266  2.70182  -4.67121 
4.73000  1.56943  8.39589  2.75490  -4.68404 
4.74000  1.59724  8.34898  2.80695  -4.69566 
4.75000  1.62557  8.30197  2.85798  -4.70605 
4.76000  1.65440  8.25486  2.90797  -4.71522 
4.77000  1.68373  8.20767  2.95690  -4.72316 
4.78000  1.71354  8.16040  3.00476  -4.72985 
4.79000  1.74382  8.11307  3.05156  -4.73530 
4.80000  1.77457  8.06569  3.09727  -4.73949 
4.81000  1.80577  8.01828  3.14188  -4.74243 
4.82000  1.83741  7.97084  3.18540  -4.74411 
4.83000  1.86947  7.92340  3.22780  -4.74451 
4.84000  1.90196  7.87595  3.26908  -4.74365 
4.85000  1.93486  7.82853  3.30924  -4.74151 
4.86000  1.96815  7.78112  3.34826  -4.73809 
4.87000  2.00182  7.73376  3.38613  -4.73339 
4.88000  2.03587  7.68646  3.42285  -4.72741 
4.89000  2.07028  7.63922  3.45842  -4.72013 
4.90000  2.10504  7.59205  3.49282  -4.71157 
4.91000  2.14013  7.54498  3.52606  -4.70171 
4.92000  2.17556  7.49802  3.55812  -4.69056 
4.93000  2.21130  7.45117  3.58899  -4.67812 
4.94000  2.24734  7.40446  3.61869  -4.66438 
4.95000  2.28367  7.35789  3.64719  -4.64935 
4.96000  2.32028  7.31147  3.67449  -4.63303 
4.97000  2.35716  7.26522  3.70060  -4.61541 
4.98000  2.39429  7.21916  3.72551  -4.59649 
4.99000  2.43167  7.17329  3.74921  -4.57629 
5.00000  2.46928  7.12764  3.77171  -4.55479 
5.01000  2.50710  7.08220  3.79299  -4.53201 
5.02000  2.54514  7.03700  3.81307  -4.50794 
5.03000  2.58337  6.99204  3.83193  -4.48259 
5.04000  2.62178  6.94734  3.84957  -4.45596 
5.05000  2.66036  6.90292  3.86600  -4.42805 
5.06000  2.69910  6.85878  3.88122  -4.39887 
5.07000  2.73798  6.81494  3.89522  -4.36842 
5.08000  2.77700  6.77141  3.90800  -4.33671 
5.09000  2.81614  6.72821  3.91956  -4.30374 
5.10000  2.85539  6.68534  3.92992  -4.26952 
5.11000  2.89474  6.64282  3.93906  -4.23405 
5.12000  2.93417  6.60066  3.94698  -4.19734 
5.13000  2.97368  6.55887  3.95370  -4.15939 
5.14000  3.01325  6.51747  3.95922  -4.12022 
